,ASIN,Nom du produit,Marque,COGS,COGS LM (%),COGS SPLY (%),Unités,Unités LM (%),Unités SPLY (%),Retours,Retours LM (%),Retours SPLY (%),Source (Fabrication ou Approvisionnement),is_in_vendor_central,Item no.,EAN,Item,Extras,Size,Description Item,Cat. 1,Cat. 2,Cat. 3,Cat. 4,Visible,Title Content,Variations,Brand store URL,Images,Videos,AI summary,Code,Catalogue,Ads Impressions CM,Ads Clicks CM,Ads CTR CM,Ads Units 14d CM,Ads Costs CM,Ads RoAS CM,Ads CVR CM,Sell-out CM,Sell-out PM,Total sell-out CM,Total sell-out PM,Units CM,Units PM,SRP,Margin,Replacements CM,Replacements PM,Stock,Stock value,Total stock,Total stock value,Reviews,Avg. stars,Stars,Coverage,Rank 1,Rank 2,Buy Box,Buy Box PM,Days not Buy Box,Views CM,Views PM,CVR CM,CVR PM,is_in_amvisor,Net PPM,Net PPM SPLY,extract_date,annee,mois
0,B00005K49U,"Hama Filtre UV 58mm (Ultraviolet Filtre de Protection UV pour Objectif Appareil Photo, Anti-UV + Protection + Anti-Reflet, Traité Double Couche par Face, Verre Qualité Supérieure)",Hama,,,-100.0,,,-100.0,,,,1_fab,True,00070158,4007249701589,"Hama Filtre anti-UV/de protection, revêtement anti-reflet",,,REGULAR,Photo & Accessories,Optics & Cleaning,Camera,Filters,Yes,"Hama Filtre UV (anti-UV et protection, compensation 4X, traitement antireflet, pour objectifs d'appareils photo 58 mm, O-Haze, traité) Noir",B00005K49R B00005K49S B00005K49T B00005K49U B00005K49V B00005K49W B00005K49X B00005K49Y B00005KHST B00005KHSU B00005YXU3 B00006JA3J B00006JA3K B00006JA5T B00006JB4M B00006JBFP B00006JCZK B00006JDGH B00006JDME B00006JDOZ B00006JEAY,,6.0,,"Les clients sont satisfaits de la protection que le filtre permet d'offrir aux objectifs. Ils mentionnent qu'il est efficace, protège des rayures et poussières. De plus, ils trouvent le produit solide et de qualité correcte. Le rapport qualité-prix est également jugé bon par les clients. L'adaptation du filtre est parfaite pour divers modèles comme le Nikon D5100.

Aspect positif de Protection
Aspect positif de Qualité
Aspect positif de Rapport qualité-prix
Aspect positif de Qualité du filtre
Aspect positif de Adaptation
Aspect positif de Qualité d'image
Aspect positif de Fonctionnel
Aspect positif de Facilité d'installation",PR,STO,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18.99,42.5,0.0,0.0,0.0,0.0,0.0,0.0,3222.0,4.6,8653.0,,328.0,422.0,Amazon,100.0,,,,,,True,0.0,0.0,2025-02,2025,2
1,B00005K49X,"Hama Filtre UV (anti-UV et protection, compensation 4X, traitement antireflet, pour objectifs d'appareils photo 72 mm, O-Haze, traité) Noir",Hama,,,-100.0,,,-100.0,,,-100.0,1_fab,True,00070172,4007249701725,Hama Filtre UV traité,Noir,72mm,NOT ACTIVE,Photo & Accessories,Optics & Cleaning,Camera,Filters,Yes,"Hama Filtre UV (anti-UV et protection, compensation 4X, traitement antireflet, pour objectifs d'appareils photo 72 mm, O-Haze, traité) Noir",B00005K49R B00005K49S B00005K49T B00005K49U B00005K49V B00005K49W B00005K49X B00005K49Y B00005KHST B00005KHSU B00005YXU3 B00006JA3J B00006JA3K B00006JA5T B00006JB4M B00006JBFP B00006JCZK B00006JDGH B00006JDME B00006JDOZ B00006JEAY,,7.0,,"Les clients sont satisfaits de la protection que le filtre permet d'offrir aux objectifs. Ils mentionnent qu'il est efficace, protège des rayures et poussières. De plus, ils trouvent le produit solide et de qualité correcte. Le rapport qualité-prix est également jugé bon par les clients. L'adaptation du filtre est parfaite pour divers modèles comme le Nikon D5100.

Aspect positif de Protection
Aspect positif de Qualité
Aspect positif de Rapport qualité-prix
Aspect positif de Qualité du filtre
Aspect positif de Adaptation
Aspect positif de Qualité d'image
Aspect positif de Fonctionnel
Aspect positif de Facilité d'installation",EOL,PUA,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18.99,51.1,0.0,0.0,0.0,0.0,0.0,0.0,3222.0,4.6,8653.0,,508.0,581.0,Stock Bureau Maison Bien-être,,,,,,,True,0.0,0.0,2025-02,2025,2
2,B00005K4A4,"Hama Filtre polarisant (circulaire, Traité, 58mm, 2 couches par face) Noir",Hama,24.72,0.0,,1.0,0.0,,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,17.69,15.032290958531611,2025-02,2025,2
3,B00005K4A5,"Hama Filtre polarisant (Circulaire, Traité, 72mm, 2 Couches par Face) Noir",Hama,,-100.0,-100.0,,-100.0,-100.0,2.0,,,1_fab,True,00072572,4007249725721,Hama Filtre polarisant circulaire,,72mm,REGULAR,Photo & Accessories,Optics & Cleaning,Camera,Filters,Yes,"Hama Filtre polarisant (circulaire, Traité, 72mm, 2 couches par face) Noir",B00005K4A4 B00005K4A5 B00005KHT8 B00005KHT9 B00005KHTA B00005KHTB B00005KHTC B00005KHTD B00005KHTE B00005QF8K B00006J4JQ B00006J4JR B00006JDQ1 B006JWQD72 B006JXO4AE B006JXO6UW B006JXO6YS B006JXO76A B006JXO8E6 B006JYGHQC B006JYGKB4 B006JYGN7A,,3.0,,"Les clients apprécient la qualité du filtre. Ils le décrivent comme un bon produit, bien fini et offrant de très bons résultats sur les caméras Panasonic Lumix DMC FZ150. Le rapport qualité-prix est excellent et il permet d'obtenir des photos plus jolies. De plus, les clients soulignent qu'il permet une amélioration significative des images, notamment pour les paysages d'été. La réduction des reflets est également mentionnée.

Aspect positif de Qualité
Aspect positif de Rapport qualité-prix
Aspect positif de Qualité d'image
Aspect positif de Réduction des reflets
Aspect positif de Efficacité
Aspect positif de Qualité des couleurs
Aspect positif de Polarisation
Aspect positif de Facilité d'utilisation",PR,STO,18994.0,67.0,0.3527,0.0,42.39,1.08,,0.0,0.0,0.0,57.16,0.0,0.0,37.49,64.3,0.0,0.0,0.0,0.0,0.0,0.0,742.0,4.4,1419.0,,60.0,469.0,Amazon,100.0,,93.0,128.0,0.0,1.56,True,0.0,0.0,2025-02,2025,2
4,B00005K4AH,"Hama Pare-soleil caoutchouté pour objectifs standard, 55mm",Hama,,,-100.0,,,-100.0,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,2025-02,2025,2
5,B00005KHSU,"Hama Filtre UV (anti-UV et protection, compensation 4X, traitement antireflet, pour objectifs d'appareils photo 46 mm, O-Haze, traité) Noir",Hama,41.0,,,5.0,,,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.82,19.88622706513901,2025-02,2025,2
6,B00005KHSV,Hama Filtre UV (390 (O-Haze) HTMC Ø 86 mm) Noir,Hama,35.5,,,1.0,,,,,,1_fab,True,00070686,4007249706867,Hama Filtre UV 390 (O-Haze),,86mm,NOT ACTIVE,Photo & Accessories,Optics & Cleaning,Camera,Filters,Yes,Hama Filtre UV (390 (O-Haze) HTMC Ø 86 mm) Noir,B00005KHSV B00005QF7Y B00005QF7Z B00005QF80 B00005QF81 B00005QF82 B00005QF83 B00005QF84 B00005QF85 B00005QF86 B00005QF87 B00005QF88 B00005YV5Z B004QF0CMG B004QF0CMQ,,6.0,,"Les clients sont satisfaits de la qualité du filtre. Ils le décrivent comme excellent, ne dégradant pas les images et offrant une protection efficace contre les rayures. Le produit est d'une marque reconnue pour sa construction solide et son ajustement correct. De plus, ils soulignent que le filtre se monte facilement sur l'objectif sans problème. Certains mentionnent également qu'il répond parfaitement son office.

Aspect positif de Qualité
Aspect positif de Protection
Aspect positif de Qualité du filtre
Aspect positif de Facilité d'installation
Aspect positif de Rapport qualité-prix
Aspect positif de Ajustement
Aspect positif de Efficacité
Aspect positif de Qualité d'image",EOL,STO,,,,,,,,35.5,0.0,35.5,0.0,1.0,0.0,45.49,,0.0,0.0,0.0,0.0,0.0,0.0,262.0,4.6,513.0,,1176.0,414.0,koka,,12.0,8.0,,12.5,,True,33.58,25.138493786494987,2025-02,2025,2
7,B00005KHT9,"Hama Filtre polarisant (circulaire, Traité, 49mm, 2 couches par face) Noir",Hama,,,-100.0,,,-100.0,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,2025-02,2025,2
8,B00005KHTA,"Hama Filtre polarisant (circulaire, Traité, 52mm, 2 couches par face) Noir",Hama,35.2,100.0,45.09,2.0,100.0,100.0,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.84,26.002449979583506,2025-02,2025,2
9,B00005KHTB,"Hama Filtre polarisant (circulaire, Traité, 55mm, 2 couches par face) Noir",Hama,18.44,,,1.0,,,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,48.93,32.85436110924595,2025-02,2025,2
