,ASIN,Nom du produit,Marque,COGS,COGS LM (%),COGS SPLY (%),Unités,Unités LM (%),Unités SPLY (%),Retours,Retours LM (%),Retours SPLY (%),Source (Fabrication ou Approvisionnement),is_in_vendor_central,Item no.,EAN,Item,Extras,Size,Description Item,Cat. 1,Cat. 2,Cat. 3,Cat. 4,Visible,Title Content,Variations,Brand store URL,Images,Videos,AI summary,Code,Catalogue,Ads Impressions CM,Ads Clicks CM,Ads CTR CM,Ads Units 14d CM,Ads Costs CM,Ads RoAS CM,Ads CVR CM,Sell-out CM,Sell-out PM,Total sell-out CM,Total sell-out PM,Units CM,Units PM,SRP,Margin,Replacements CM,Replacements PM,Stock,Stock value,Total stock,Total stock value,Reviews,Avg. stars,Stars,Coverage,Rank 1,Rank 2,Buy Box,Buy Box PM,Days not Buy Box,Views CM,Views PM,CVR CM,CVR PM,is_in_amvisor,Net PPM,Net PPM SPLY,extract_date,annee,mois
0,B00005K49U,"Hama Filtre UV 58mm (Ultraviolet Filtre de Protection UV pour Objectif Appareil Photo, Anti-UV + Protection + Anti-Reflet, Traité Double Couche par Face, Verre Qualité Supérieure)",Hama,,-100.0,-100.0,,-100.0,-100.0,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,2024-01,2024,1
1,B00005K49W,"Hama Filtre UV 67mm (Ultraviolet Filtre de Protection UV pour Objectif Appareil Photo, Anti-UV + Protection + Anti-Reflet, Traité Double Couche par Face, Verre Qualité Supérieure)",Hama,41.74,,,2.0,,,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-20.07,-25.109470786938573,2024-01,2024,1
2,B00005K49X,"Hama Filtre UV (anti-UV et protection, compensation 4X, traitement antireflet, pour objectifs d'appareils photo 72 mm, O-Haze, traité) Noir",Hama,58.92,,,3.0,,,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-14.32,-16.713352007469656,2024-01,2024,1
3,B00005K4A4,"Hama Filtre polarisant (circulaire, Traité, 58mm, 2 couches par face) Noir",Hama,52.54,88.86,,2.0,100.0,,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,26.38,20.873555942395946,2024-01,2024,1
4,B00005K4A5,"Hama Filtre polarisant (Circulaire, Traité, 72mm, 2 Couches par Face) Noir",Hama,35.96,,-65.66,1.0,,-66.67,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-6.75,-7.733730522456462,2024-01,2024,1
5,B00005K4AG,"Hama Pare-soleil caoutchouté pour objectifs standard, 52mm",Hama,,,,,,,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,2024-01,2024,1
6,B00005K4AH,"Hama Pare-soleil caoutchouté pour objectifs standard, 55mm",Hama,15.74,100.0,106.02,2.0,100.0,100.0,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,38.84,42.071057192374354,2024-01,2024,1
7,B00005KHSU,"Hama Filtre UV (anti-UV et protection, compensation 4X, traitement antireflet, pour objectifs d'appareils photo 46 mm, O-Haze, traité) Noir",Hama,42.0,0.0,,4.0,0.0,,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,9.29,8.500320248879127,2024-01,2024,1
8,B00005KHT9,"Hama Filtre polarisant (circulaire, Traité, 49mm, 2 couches par face) Noir",Hama,23.33,,,1.0,,,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.23,23.2145599754262,2024-01,2024,1
9,B00005KHTA,"Hama Filtre polarisant (circulaire, Traité, 52mm, 2 couches par face) Noir",Hama,24.26,,,1.0,,,,,,1_fab,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,9.38,8.576392063637195,2024-01,2024,1
